Differences between 
	sv6_GenTest__SV6.bin 
and 
	sv6_GenTest__out__sv6.bin 
----------------------------------------------
Address		Length of span	File 1	File 2
00272770:	4		FDFF..	0000..
00272E50:	1		0700..	0000..
00272E52:	23		6261..	0000..
00272E92:	17		6261..	0000..
00272EA4:	153		5369..	0000..
00272F92:	1		0A00..	0000..
00272F98:	2		E005..	0000..
00272F9B:	1		8000..	0000..
00272F9D:	1		8000..	0000..
00272F9F:	3		80E0..	0000..
00272FA3:	3		03A0..	0000..
00272FA8:	1		7000..	0000..
00272FAA:	1		7000..	0000..
00272FAC:	1		7000..	0000..
00272FB1:	2		0203..	0000..
00272FB4:	12		6261..	426C..
00272FC1:	14		6E61..	7200..
00273D6C:	97		FF02..	0000..
00273DCE:	71		E083..	0000..
00273E1C:	1		FF00..	0000..
00273E24:	1		FF00..	0000..
00273E2C:	1		FF00..	0000..
00273E34:	1		FF00..	0000..
00273E3C:	1		FF00..	0000..
00273E44:	1		FF00..	0000..
00273E4C:	1		FF00..	0000..
00273E54:	1		FF00..	0000..
00273E5C:	1		FF00..	0000..
00273E64:	1		FF00..	0000..
00273E6C:	1		FF00..	0000..
00273E74:	1		FF00..	0000..
00273E7C:	1		FF00..	0000..
00273E84:	1		FF00..	0000..
00273E8C:	1		FF00..	0000..
00273E94:	1		FF00..	0000..
00273E9C:	1		FF00..	0000..
00273EA4:	1		FF00..	0000..
00273EAC:	1		FF00..	0000..
00273EB4:	1		FF00..	0000..
00273EBC:	1		FF00..	0000..
00273EC4:	1		FF00..	0000..
00273ECC:	1		FF00..	0000..
00273ED4:	1		FF00..	0000..
00273EDC:	1		FF00..	0000..
00273EE4:	1		FF00..	0000..
00273EEC:	1		FF00..	0000..
00273EF4:	1		FF00..	0000..
00273EFC:	1		FF00..	0000..
00273F04:	1		FF00..	0000..
00273F0C:	1		FF00..	0000..
00273F14:	1		FF00..	0000..
00273F1C:	1		FF00..	0000..
00273F24:	1		FF00..	0000..
00273F2C:	1		FF00..	0000..
00273F34:	1		FF00..	0000..
00273F3C:	1		FF00..	0000..
00273F44:	1		FF00..	0000..
00273F4C:	1		FF00..	0000..
00273F54:	1		FF00..	0000..
00273F5C:	1		FF00..	0000..
00273F64:	1		FF00..	0000..
00273F6C:	1		FF00..	0000..
00273F74:	1		FF00..	0000..
00273F7C:	1		FF00..	0000..
00273F84:	1		FF00..	0000..
00273F8C:	1		FF00..	0000..
00273F94:	1		FF00..	0000..
00273F9C:	1		FF00..	0000..
00273FA4:	1		FF00..	0000..
00273FAC:	1		FF00..	0000..
00273FB4:	1		FF00..	0000..
00273FBC:	1		FF00..	0000..
00273FC4:	1		FF00..	0000..
00273FCC:	1		FF00..	0000..
00273FD4:	1		FF00..	0000..
00273FDC:	1		FF00..	0000..
00273FE4:	1		FF00..	0000..
00273FEC:	1		FF00..	0000..
00273FF4:	1		FF00..	0000..
00273FFC:	1		FF00..	0000..
00274004:	1		FF00..	0000..
0027400C:	1		FF00..	0000..
00274014:	1		FF00..	0000..
0027401C:	1		FF00..	0000..
00274024:	1		FF00..	0000..
0027402C:	1		FF00..	0000..
00274034:	1		FF00..	0000..
0027403C:	1		FF00..	0000..
00274044:	1		FF00..	0000..
0027404C:	1		FF00..	0000..
00274054:	1		FF00..	0000..
0027405C:	1		FF00..	0000..
00274064:	1		FF00..	0000..
0027406C:	1		FF00..	0000..
00274074:	1		FF00..	0000..
0027407C:	1		FF00..	0000..
00274084:	1		FF00..	0000..
0027408C:	1		FF00..	0000..
00274094:	1		FF00..	0000..
0027409C:	1		FF00..	0000..
002740A4:	1		FF00..	0000..
002740AC:	1		FF00..	0000..
002740B4:	1		FF00..	0000..
002740BC:	1		FF00..	0000..
002740C4:	1		FF00..	0000..
002740CC:	1		FF00..	0000..
002740D4:	1		FF00..	0000..
002740DC:	1		FF00..	0000..
002740E4:	1		FF00..	0000..
002740EC:	1		FF00..	0000..
002740F4:	1		FF00..	0000..
002740FC:	1		FF00..	0000..
00274104:	1		FF00..	0000..
0027410C:	1		FF00..	0000..
00274114:	1		FF00..	0000..
0027411C:	1		FF00..	0000..
00274124:	1		FF00..	0000..
0027412C:	1		FF00..	0000..
00274134:	1		FF00..	0000..
0027413C:	1		FF00..	0000..
00274144:	1		FF00..	0000..
0027414C:	1		FF00..	0000..
00274154:	1		FF00..	0000..
0027415C:	1		FF00..	0000..
00274164:	1		FF00..	0000..
0027416C:	1		FF00..	0000..
00274174:	1		FF00..	0000..
0027417C:	1		FF00..	0000..
00274184:	1		FF00..	0000..
0027418C:	1		FF00..	0000..
00274194:	1		FF00..	0000..
0027419C:	1		FF00..	0000..
002741A4:	1		FF00..	0000..
002741AC:	1		FF00..	0000..
002741B4:	1		FF00..	0000..
002741BC:	1		FF00..	0000..
002741C4:	1		FF00..	0000..
002741CC:	1		FF00..	0000..
002741D4:	1		FF00..	0000..
002741DC:	1		FF00..	0000..
002741E4:	1		FF00..	0000..
002741EC:	1		FF00..	0000..
002741F4:	1		FF00..	0000..
002741FC:	1		FF00..	0000..
00274204:	1		FF00..	0000..
0027420C:	1		FF00..	0000..
00274214:	1		FF00..	0000..
0027421C:	1		FF00..	0000..
00274224:	1		FF00..	0000..
0027422C:	1		FF00..	0000..
00274234:	1		FF00..	0000..
0027423C:	1		FF00..	0000..
00274244:	1		FF00..	0000..
0027424C:	1		FF00..	0000..
00274254:	1		FF00..	0000..
0027425C:	1		FF00..	0000..
00274264:	1		FF00..	0000..
0027426C:	1		FF00..	0000..
00274274:	1		FF00..	0000..
0027427C:	1		FF00..	0000..
00274284:	1		FF00..	0000..
0027428C:	1		FF00..	0000..
00274294:	1		FF00..	0000..
0027429C:	1		FF00..	0000..
002742A4:	1		FF00..	0000..
002742AC:	1		FF00..	0000..
002742B4:	1		FF00..	0000..
002742BC:	1		FF00..	0000..
002742C4:	1		FF00..	0000..
002742CC:	1		FF00..	0000..
002742D4:	1		FF00..	0000..
002742DC:	1		FF00..	0000..
002742E4:	1		FF00..	0000..
002742EC:	1		FF00..	0000..
002742F4:	1		FF00..	0000..
002742FC:	1		FF00..	0000..
00274304:	1		FF00..	0000..
0027430C:	1		FF00..	0000..
00274314:	1		FF00..	0000..
0027431C:	1		FF00..	0000..
00274324:	1		FF00..	0000..
0027432C:	1		FF00..	0000..
00274334:	1		FF00..	0000..
0027433C:	1		FF00..	0000..
00274344:	1		FF00..	0000..
0027434C:	1		FF00..	0000..
00274354:	1		FF00..	0000..
0027435C:	1		FF00..	0000..
00274364:	1		FF00..	0000..
0027436C:	1		FF00..	0000..
00274374:	1		FF00..	0000..
0027437C:	1		FF00..	0000..
00274384:	1		FF00..	0000..
0027438C:	1		FF00..	0000..
00274394:	1		FF00..	0000..
0027439C:	1		FF00..	0000..
002743A4:	1		FF00..	0000..
